query_node,rtt_ms,hilbert_order,truth_size,returned,tp,fp,fn,precision,recall,jaccard
serf1,5,10,4,5,4,1,0,0.8,1,0.8
serf1,15,10,13,18,12,6,1,0.666667,0.923077,0.631579
serf5,5,10,1,6,1,5,0,0.166667,1,0.166667
serf5,15,10,7,19,7,12,0,0.368421,1,0.368421
serf10,5,10,0,0,0,0,0,nan,nan,nan
serf10,15,10,5,9,5,4,0,0.555556,1,0.555556
serf11,5,10,3,6,3,3,0,0.5,1,0.5
serf11,15,10,11,15,11,4,0,0.733333,1,0.733333
serf15,5,10,0,6,0,6,0,0,nan,0
serf15,15,10,8,15,8,7,0,0.533333,1,0.533333
serf20,5,10,0,0,0,0,0,nan,nan,nan
serf20,15,10,5,9,5,4,0,0.555556,1,0.555556
serf21,5,10,4,5,4,1,0,0.8,1,0.8
serf21,15,10,10,9,9,0,1,1,0.9,0.9
serf25,5,10,1,6,1,5,0,0.166667,1,0.166667
serf25,15,10,9,9,9,0,0,1,1,1
serf30,5,10,0,0,0,0,0,nan,nan,nan
serf30,15,10,6,9,6,3,0,0.666667,1,0.666667
